Inventory_ID,Warehouse_ID,Product_ID,Current_Stock,Reserved_Stock,Safety_Stock,Last_Restock_Date
INV0001,WH001,PROD0471,160,63,31,2026-06-17
INV0002,WH029,PROD0458,63,23,10,2026-05-20
INV0003,WH006,PROD0413,356,110,131,2026-06-18
INV0004,WH016,PROD0023,131,14,22,2026-04-24
INV0005,WH047,PROD0004,601,197,134,2026-07-09
INV0006,WH007,PROD0046,615,229,104,2026-07-08
INV0007,WH028,PROD0357,457,143,149,2026-06-30
INV0008,WH011,PROD0014,199,56,110,2026-07-21
INV0009,WH011,PROD0120,146,17,123,2026-07-11
INV0010,WH009,PROD0152,571,73,37,2026-06-24
INV0011,WH008,PROD0372,195,52,18,2026-05-17
INV0012,WH020,PROD0428,542,185,49,2026-07-18
INV0013,WH025,PROD0004,275,65,77,2026-07-20
INV0014,WH027,PROD0056,186,23,127,2026-07-12
INV0015,WH007,PROD0223,1239,134,458,2026-07-18
INV0016,WH046,PROD0285,183,66,38,2026-04-18
INV0017,WH022,PROD0454,2155,859,180,2026-07-18
INV0018,WH037,PROD0111,2139,564,317,2026-07-29
INV0019,WH018,PROD0162,366,136,107,2026-07-09
INV0020,WH002,PROD0101,515,165,67,2026-06-28
INV0021,WH006,PROD0448,695,253,44,2026-07-14
INV0022,WH045,PROD0274,38,7,40,2026-05-02
INV0023,WH046,PROD0378,853,96,127,2026-07-23
INV0024,WH009,PROD0124,151,54,95,2026-06-18
INV0025,WH036,PROD0043,447,36,97,2026-06-18
INV0026,WH036,PROD0070,55,12,7,2026-05-09
INV0027,WH009,PROD0412,66,6,10,2026-04-27
INV0028,WH028,PROD0370,749,230,99,2026-07-17
INV0029,WH011,PROD0349,1431,88,272,2026-07-31
INV0030,WH002,PROD0397,180,14,6,2026-06-29
INV0031,WH048,PROD0414,173,50,10,2026-06-22
INV0032,WH007,PROD0225,651,45,112,2026-06-29
INV0033,WH039,PROD0014,253,46,75,2026-07-02
INV0034,WH033,PROD0331,84,8,23,2026-05-30
INV0035,WH010,PROD0308,181,27,39,2026-05-02
INV0036,WH050,PROD0040,254,57,52,2026-07-04
INV0037,WH021,PROD0195,580,117,35,2026-06-20
INV0038,WH039,PROD0026,10,1,21,2026-06-01
INV0039,WH006,PROD0186,2413,247,240,2026-07-23
INV0040,WH008,PROD0121,1991,287,176,2026-07-19
INV0041,WH021,PROD0190,777,123,36,2026-06-29
INV0042,WH037,PROD0193,196,58,7,2026-04-23
INV0043,WH004,PROD0209,312,81,60,2026-06-26
INV0044,WH030,PROD0317,100,32,6,2026-04-14
INV0045,WH034,PROD0095,228,32,38,2026-07-19
INV0046,WH008,PROD0444,501,46,62,2026-06-19
INV0047,WH034,PROD0379,105,40,63,2026-07-06
INV0048,WH036,PROD0486,2240,841,355,2026-07-17
INV0049,WH025,PROD0368,292,55,97,2026-07-18
INV0050,WH044,PROD0034,879,234,456,2026-07-25
INV0051,WH011,PROD0268,156,24,24,2026-05-11
INV0052,WH027,PROD0388,193,58,13,2026-05-16
INV0053,WH028,PROD0110,36,2,24,2026-05-31
INV0054,WH025,PROD0150,171,29,29,2026-06-12
INV0055,WH049,PROD0149,20,6,16,2026-05-12
INV0056,WH024,PROD0175,1065,410,250,2026-07-28
INV0057,WH002,PROD0343,646,101,340,2026-07-25
INV0058,WH019,PROD0263,2472,917,358,2026-07-17
INV0059,WH047,PROD0056,477,140,60,2026-06-17
INV0060,WH018,PROD0170,195,51,13,2026-05-04
INV0061,WH044,PROD0353,97,28,7,2026-05-26
INV0062,WH019,PROD0123,62,24,18,2026-06-06
INV0063,WH013,PROD0425,144,23,21,2026-04-18
INV0064,WH026,PROD0373,66,5,14,2026-06-19
INV0065,WH030,PROD0270,2210,719,469,2026-07-17
INV0066,WH039,PROD0500,60,4,20,2026-04-18
INV0067,WH032,PROD0111,851,138,307,2026-07-21
INV0068,WH027,PROD0438,135,51,122,2026-07-18
INV0069,WH040,PROD0390,139,55,36,2026-05-22
INV0070,WH033,PROD0440,1967,594,498,2026-07-23
INV0071,WH001,PROD0006,1057,62,206,2026-07-18
INV0072,WH038,PROD0055,1670,148,498,2026-07-25
INV0073,WH039,PROD0269,13,2,20,2026-04-05
INV0074,WH045,PROD0255,77,7,23,2026-04-17
INV0075,WH027,PROD0470,10,1,18,2026-05-13
INV0076,WH009,PROD0454,537,140,139,2026-07-27
INV0077,WH034,PROD0328,157,37,23,2026-06-19
INV0078,WH026,PROD0272,132,33,26,2026-06-29
INV0079,WH027,PROD0100,274,103,134,2026-07-12
INV0080,WH033,PROD0076,28,4,20,2026-05-06
INV0081,WH005,PROD0048,75,23,7,2026-04-04
INV0082,WH009,PROD0267,147,50,31,2026-06-27
INV0083,WH050,PROD0406,96,36,20,2026-04-30
INV0084,WH048,PROD0024,142,44,11,2026-06-18
INV0085,WH002,PROD0481,472,187,198,2026-07-18
INV0086,WH014,PROD0185,109,8,30,2026-04-16
INV0087,WH002,PROD0198,930,70,450,2026-07-24
INV0088,WH014,PROD0052,1018,141,493,2026-07-28
INV0089,WH004,PROD0419,540,61,95,2026-06-17
INV0090,WH032,PROD0321,2287,563,317,2026-07-19
INV0091,WH040,PROD0108,144,44,21,2026-05-26
INV0092,WH016,PROD0156,151,59,5,2026-04-26
INV0093,WH022,PROD0153,70,25,35,2026-04-08
INV0094,WH034,PROD0070,114,15,7,2026-06-05
INV0095,WH047,PROD0064,154,32,43,2026-06-29
INV0096,WH039,PROD0421,148,58,94,2026-06-29
INV0097,WH005,PROD0412,84,9,23,2026-04-20
INV0098,WH029,PROD0131,159,50,15,2026-05-12
INV0099,WH040,PROD0483,2023,506,492,2026-07-22
INV0100,WH050,PROD0337,403,110,136,2026-06-17
INV0101,WH048,PROD0374,183,66,34,2026-06-21
INV0102,WH035,PROD0402,103,39,29,2026-04-12
INV0103,WH022,PROD0290,205,65,67,2026-07-21
INV0104,WH037,PROD0317,59,5,16,2026-06-08
INV0105,WH015,PROD0151,244,46,129,2026-06-25
INV0106,WH040,PROD0359,123,12,101,2026-06-22
INV0107,WH030,PROD0392,116,23,6,2026-04-11
INV0108,WH020,PROD0288,1234,156,366,2026-07-22
INV0109,WH039,PROD0465,470,171,113,2026-07-07
INV0110,WH043,PROD0460,153,51,6,2026-05-27
INV0111,WH027,PROD0455,179,65,12,2026-06-14
INV0112,WH028,PROD0175,422,146,381,2026-07-19
INV0113,WH038,PROD0391,467,94,99,2026-07-13
INV0114,WH036,PROD0196,686,132,78,2026-06-30
INV0115,WH014,PROD0008,675,56,91,2026-06-25
INV0116,WH010,PROD0393,294,46,133,2026-06-19
INV0117,WH049,PROD0062,74,14,17,2026-05-29
INV0118,WH038,PROD0408,418,60,138,2026-06-20
INV0119,WH002,PROD0427,52,2,35,2026-06-04
INV0120,WH033,PROD0223,1900,758,299,2026-07-30
INV0121,WH049,PROD0199,615,48,55,2026-07-18
INV0122,WH040,PROD0172,126,22,36,2026-07-18
INV0123,WH042,PROD0143,628,164,250,2026-07-21
INV0124,WH021,PROD0028,564,198,82,2026-07-11
INV0125,WH038,PROD0487,123,12,31,2026-04-13
INV0126,WH015,PROD0327,386,140,64,2026-07-21
INV0127,WH039,PROD0145,500,150,50,2026-07-19
INV0128,WH009,PROD0372,113,10,31,2026-04-08
INV0129,WH002,PROD0285,33,11,36,2026-04-13
INV0130,WH004,PROD0083,154,8,9,2026-05-30
INV0131,WH044,PROD0274,77,9,9,2026-06-08
INV0132,WH006,PROD0480,235,41,149,2026-07-02
INV0133,WH013,PROD0177,112,26,11,2026-05-04
INV0134,WH001,PROD0105,972,75,447,2026-07-30
INV0135,WH025,PROD0058,324,43,126,2026-06-25
INV0136,WH043,PROD0163,43,10,34,2026-04-30
INV0137,WH025,PROD0063,1079,82,211,2026-07-24
INV0138,WH019,PROD0158,1383,420,403,2026-07-31
INV0139,WH038,PROD0166,22,3,14,2026-05-13
INV0140,WH007,PROD0221,382,50,66,2026-07-19
INV0141,WH017,PROD0426,716,169,303,2026-07-24
INV0142,WH030,PROD0380,611,66,115,2026-06-20
INV0143,WH001,PROD0427,51,18,10,2026-05-01
INV0144,WH012,PROD0053,170,39,17,2026-05-30
INV0145,WH011,PROD0294,149,48,26,2026-05-01
INV0146,WH029,PROD0120,536,190,140,2026-07-08
INV0147,WH008,PROD0435,627,180,52,2026-06-18
INV0148,WH002,PROD0174,1237,256,393,2026-07-19
INV0149,WH032,PROD0403,189,37,39,2026-04-12
INV0150,WH008,PROD0233,589,112,119,2026-07-19
INV0151,WH016,PROD0461,113,39,38,2026-06-14
INV0152,WH049,PROD0002,106,8,39,2026-06-14
INV0153,WH012,PROD0115,171,48,27,2026-05-22
INV0154,WH026,PROD0348,1799,300,107,2026-07-19
INV0155,WH007,PROD0352,77,7,30,2026-04-21
INV0156,WH042,PROD0395,54,5,9,2026-04-20
INV0157,WH030,PROD0387,162,41,7,2026-04-22
INV0158,WH018,PROD0121,2061,493,419,2026-07-22
INV0159,WH002,PROD0488,50,17,13,2026-06-28
INV0160,WH039,PROD0355,196,67,19,2026-04-09
INV0161,WH047,PROD0307,356,98,94,2026-07-04
INV0162,WH039,PROD0173,198,53,37,2026-04-23
INV0163,WH019,PROD0178,2150,489,420,2026-07-23
INV0164,WH049,PROD0468,136,11,118,2026-06-24
INV0165,WH016,PROD0459,1945,422,329,2026-07-25
INV0166,WH043,PROD0096,407,59,415,2026-07-24
INV0167,WH040,PROD0033,742,165,114,2026-06-23
INV0168,WH025,PROD0278,253,57,139,2026-06-25
INV0169,WH010,PROD0429,43,10,25,2026-04-27
INV0170,WH048,PROD0020,870,50,39,2026-05-23
INV0171,WH044,PROD0321,1272,373,288,2026-07-31
