Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Of_Measure,Length_cm,Width_cm,Height_cm,Unit_Weight_kg,Selling_Price,Reorder_Level,Status
PROD0001,Dell Accessories Model-763,Electronics,Accessories,Dell,Pcs,37.3,25.7,3.3,0.66,26977.87,122,Active
PROD0002,Samsung Microwaves Model-579,Home Appliances,Microwaves,Samsung,Set,72.0,77.1,110.1,34.63,7527.62,37,Active
PROD0003,Nestlé Confectionery Model-126,FMCG - Food,Confectionery,Nestlé,Pack,9.6,15.1,26.1,2.96,36.18,360,Active
PROD0004,Unilever Skincare Model-581,FMCG - Personal Care,Skincare,Unilever,Box,11.2,11.3,12.7,0.61,780.0,61,Active
PROD0005,Reliance Air Fresheners Model-428,FMCG - Home Care,Air Fresheners,Reliance,Pack,22.2,9.9,27.3,1.58,852.87,290,Discontinued
PROD0006,Peter England Men's Wear Model-358,Apparel,Men's Wear,Peter England,Set,22.3,26.6,7.2,1.02,304.83,268,Active
PROD0007,Sparx Formal Shoes Model-470,Footwear,Formal Shoes,Sparx,Box,31.3,20.3,11.0,1.17,5594.97,41,Active
PROD0008,Nilkamal Bedroom Model-418,Furniture,Bedroom,Nilkamal,Pcs,100.7,45.6,119.4,41.34,16958.5,69,Active
PROD0009,Philips Bike Accessories Model-822,Automotive Accessories,Bike Accessories,Philips,Set,26.6,24.5,16.8,2.85,1328.21,303,Active
PROD0010,ITC Classmate Writing Instruments Model-382,Office Supplies,Writing Instruments,ITC Classmate,Set,15.2,20.8,5.5,0.06,1097.29,47,Active
PROD0011,Stanley Measuring Instruments Model-557,Industrial Tools,Measuring Instruments,Stanley,Box,34.2,18.6,24.1,4.71,14026.36,25,Active
PROD0012,Zydus Medical Devices Model-144,Health & Wellness,Medical Devices,Zydus,Pcs,19.9,15.6,13.1,0.83,2024.7,19,Active
PROD0013,Milton Cookware Model-614,Kitchenware,Cookware,Milton,Box,21.6,12.5,26.9,0.68,4565.64,186,Active
PROD0014,Funskool Educational Toys Model-580,Toys & Games,Educational Toys,Funskool,Box,20.2,23.9,18.0,2.14,3012.73,98,Active
PROD0015,Nivia Team Sports Model-136,Sports & Fitness,Team Sports,Nivia,Pair,22.2,28.9,28.0,14.96,9024.5,16,Active
PROD0016,Johnson & Johnson Baby Food Model-270,Baby Care,Baby Food,Johnson & Johnson,Pcs,22.0,10.9,22.8,0.32,960.31,212,Active
PROD0017,American Tourister Travel Suitcases Model-279,Luggage & Bags,Travel Suitcases,American Tourister,Pcs,43.3,24.6,60.7,2.44,5165.26,50,Active
PROD0018,Pidilite Fasteners Model-109,Hardware,Fasteners,Pidilite,Litre,27.5,15.2,7.4,4.47,1414.98,131,Active
PROD0019,Havells Audio Model-965,Electronics,Audio,Havells,Set,16.0,14.6,10.7,0.91,49127.12,139,Active
PROD0020,Voltas Microwaves Model-108,Home Appliances,Microwaves,Voltas,Pcs,84.6,67.3,156.6,59.18,50983.81,32,Active
PROD0021,Nestlé Beverages Model-794,FMCG - Food,Beverages,Nestlé,Box,17.6,18.6,20.1,1.58,363.84,18,Active
PROD0022,Emami Oral Care Model-865,FMCG - Personal Care,Oral Care,Emami,Pack,5.9,5.1,18.1,0.97,660.48,20,Active
PROD0023,Reliance Air Fresheners Model-864,FMCG - Home Care,Air Fresheners,Reliance,Box,21.1,12.0,11.9,3.82,234.03,35,Active
PROD0024,Peter England Innerwear Model-192,Apparel,Innerwear,Peter England,Set,20.3,23.0,4.7,0.86,3123.83,50,Active
PROD0025,Bata Sports Shoes Model-339,Footwear,Sports Shoes,Bata,Box,25.3,21.2,12.8,1.68,1639.66,360,Active
PROD0026,Pepperfry Office Furniture Model-219,Furniture,Office Furniture,Pepperfry,Pcs,45.0,42.2,119.7,7.88,9365.8,34,Active
PROD0027,Philips Electronics Model-860,Automotive Accessories,Electronics,Philips,Box,16.2,22.4,7.5,3.04,3383.3,54,Active
PROD0028,JK Paper Writing Instruments Model-555,Office Supplies,Writing Instruments,JK Paper,Pack,30.7,7.0,10.9,1.66,1467.43,100,Active
PROD0029,Havells Power Tools Model-193,Industrial Tools,Power Tools,Havells,Box,20.6,28.5,29.3,0.89,5335.88,150,Active
PROD0030,Dr. Morepen Supplements Model-312,Health & Wellness,Supplements,Dr. Morepen,Box,21.3,8.5,12.7,1.6,1828.35,68,Active
PROD0031,Milton Storage Containers Model-212,Kitchenware,Storage Containers,Milton,Box,40.3,13.3,17.2,3.98,3005.94,83,Active
PROD0032,Mitashi Soft Toys Model-216,Toys & Games,Soft Toys,Mitashi,Set,11.9,19.0,12.2,1.52,1691.62,128,Discontinued
PROD0033,Decathlon Yoga Accessories Model-758,Sports & Fitness,Yoga Accessories,Decathlon,Pcs,21.4,24.4,15.0,10.35,6010.66,59,Active
PROD0034,Nestlé Baby Bath Model-251,Baby Care,Baby Bath,Nestlé,Pack,15.0,28.7,37.2,2.88,1014.17,225,Active
PROD0035,VIP Duffle Bags Model-912,Luggage & Bags,Duffle Bags,VIP,Pcs,50.6,31.3,64.6,3.36,2220.18,24,Active
PROD0036,Hindware Paints & Finishes Model-525,Hardware,Paints & Finishes,Hindware,Pcs,12.8,9.7,8.8,9.54,2762.94,173,Active
PROD0037,Titan Smartphones Model-198,Electronics,Smartphones,Titan,Box,32.2,25.3,12.0,2.09,48260.94,17,Active
PROD0038,LG Microwaves Model-394,Home Appliances,Microwaves,LG,Set,51.1,58.9,69.8,44.4,16515.3,366,Active
PROD0039,Nestlé Snacks Model-687,FMCG - Food,Snacks,Nestlé,Box,21.1,17.7,29.3,4.1,498.59,53,Active
PROD0040,Dabur Oral Care Model-284,FMCG - Personal Care,Oral Care,Dabur,Pack,11.7,6.5,15.1,0.06,1050.34,101,Active
PROD0041,Godrej Detergents Model-864,FMCG - Home Care,Detergents,Godrej,Litre,12.5,11.8,13.9,1.7,318.97,48,Active
