Purchase_Order_ID,Order_Date,Supplier_ID,Product_ID,Warehouse_ID,Order_Quantity,Unit_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Defective_Quantity,Transportation_Mode,Freight_Cost,Payment_Terms,Payment_Method
PO000001,2024-11-12,SUP0073,PROD0182,WH042,157,15569.9,2024-11-17,2024-11-15,0,Road,12778.66,Net 45,Cheque
PO000002,2026-05-02,SUP0022,PROD0481,WH024,1877,570.65,2026-05-09,2026-05-09,30,Rail,8105.88,Net 30,NEFT
PO000003,2024-08-26,SUP0120,PROD0364,WH008,354,655.21,2024-08-31,2024-08-30,0,Road,434.81,Net 45,Cheque
PO000004,2026-02-27,SUP0051,PROD0300,WH034,1320,340.66,2026-03-13,2026-03-13,30,Sea,1995.57,Net 30,NEFT
PO000005,2024-09-16,SUP0104,PROD0071,WH022,1436,1486.86,2024-09-23,2024-09-23,2,Rail,4337.35,Net 90,RTGS
PO000006,2026-01-06,SUP0091,PROD0071,WH039,1027,1857.08,2026-01-11,2026-01-11,37,Road,5792.18,Net 45,Cheque
PO000007,2025-09-03,SUP0009,PROD0027,WH033,377,2577.77,2025-09-17,2025-09-17,7,Sea,1527.73,Net 60,RTGS
PO000008,2025-07-23,SUP0071,PROD0436,WH030,309,729.59,2025-07-28,2025-08-01,0,Road,,Net 60,Bank Transfer
PO000009,2024-08-08,SUP0036,PROD0300,WH006,1147,250.92,2024-08-15,2024-08-23,30,Rail,2021.55,Net 90,NEFT
PO000010,2024-09-01,SUP0054,PROD0350,WH013,284,23721.71,2024-09-06,2024-09-04,0,Road,6241.42,Net 90,Bank Transfer
PO000011,2025-01-25,SUP0112,PROD0008,WH044,111,9083.64,2025-02-01,2025-02-09,2,Rail,4097.82,Net 60,RTGS
PO000012,2025-01-19,SUP0038,PROD0488,WH019,42,14556.72,2025-01-24,2025-01-24,1,Road,3369.34,Advance Payment,Cheque
PO000013,2025-03-28,SUP0114,PROD0423,WH026,1622,1468.34,2025-04-02,2025-04-02,13,Road,6797.61,Advance Payment,NEFT
PO000014,2024-03-17,SUP0066,PROD0096,WH017,223,1141.43,2024-03-22,2024-03-22,4,Road,500.24,Net 90,Bank Transfer
PO000015,2025-03-23,SUP0043,PROD0084,WH037,80,149.05,2025-03-28,2025-04-05,2,Road,,Net 60,Bank Transfer
PO000016,2025-05-22,SUP0005,PROD0085,WH027,85,3599.39,2025-06-05,2025-06-03,1,Sea,566.8,Net 45,Cheque
PO000017,2024-08-05,SUP0081,PROD0144,WH024,109,953.48,2024-08-10,2024-08-10,0,Road,1643.91,Net 90,NEFT
PO000018,2024-07-22,SUP0037,PROD0263,WH047,348,3203.4,2024-07-27,2024-08-05,3,Road,7021.08,Net 90,Bank Transfer
PO000019,2026-06-09,SUP0058,PROD0210,WH014,421,547.89,2026-06-14,2026-06-21,10,Road,1111.19,Net 45,RTGS
PO000020,2025-10-09,SUP0063,PROD0136,WH003,1130,155.21,2025-10-16,2025-10-21,40,Rail,1373.99,Net 90,RTGS
PO000021,2025-09-20,SUP0099,PROD0305,WH005,1773,3512.2,2025-09-25,2025-09-27,29,Road,12975.11,Net 30,Cheque
PO000022,2024-02-29,SUP0051,PROD0064,WH014,320,761.28,2024-03-05,,2,Road,994.73,Net 30,NEFT
PO000023,2025-05-11,SUP0072,PROD0136,WH008,741,132.28,2025-05-16,2025-05-16,27,Road,,Net 30,Cheque
PO000024,2025-05-25,SUP0043,PROD0178,WH043,1775,1355.56,2025-06-01,2025-06-01,11,Rail,1306.98,Advance Payment,Cheque
PO000025,2024-09-10,SUP0067,PROD0224,WH025,63,19562.67,2024-09-15,2024-09-19,1,Road,4482.59,Net 90,NEFT
PO000026,2026-07-18,SUP0067,PROD0397,WH015,32,45999.42,2026-07-20,2026-07-20,0,Air,875.16,Net 45,Bank Transfer
PO000027,2024-12-07,SUP0065,PROD0091,WH045,1296,45677.8,2024-12-12,2024-12-12,28,Road,,Net 45,NEFT
PO000028,2026-05-31,SUP0062,PROD0256,WH037,80,360.91,2026-06-07,2026-06-07,1,Rail,351.22,Net 60,Bank Transfer
PO000029,2024-01-09,SUP0088,PROD0296,WH045,201,19334.34,2024-01-16,2024-01-16,3,Rail,2313.45,Net 45,NEFT
PO000030,2025-08-07,SUP0109,PROD0019,WH003,93,37418.65,2025-08-21,,2,Sea,315.5,Net 60,Cheque
PO000031,2026-06-14,SUP0063,PROD0304,WH045,144,901.36,2026-06-16,2026-06-16,5,Air,2494.29,Net 90,RTGS
PO000032,2025-03-04,SUP0030,PROD0081,WH011,1075,2265.33,2025-03-11,2025-03-11,13,Rail,3330.93,Net 60,Cheque
PO000033,2026-04-29,SUP0106,PROD0031,WH009,417,2144.49,2026-05-04,2026-05-04,7,Road,,Net 30,NEFT
PO000034,2025-06-12,SUP0090,PROD0481,WH004,1544,637.95,2025-06-26,2025-06-28,43,Sea,3956.26,Advance Payment,RTGS
PO000035,2025-06-02,SUP0038,PROD0486,WH049,1519,1808.29,2025-06-07,2025-06-07,18,Road,10873.87,Net 45,Cheque
PO000036,2024-04-12,SUP0107,PROD0409,WH015,301,1302.5,2024-04-19,2024-04-19,11,Rail,1070.8,Net 30,NEFT
PO000037,2026-03-29,SUP0104,PROD0144,WH027,461,1317.46,2026-04-03,2026-04-07,8,Road,5925.56,Advance Payment,Cheque
PO000038,2025-04-26,SUP0051,PROD0045,WH031,57,3406.85,2025-05-03,,0,Rail,649.45,Net 90,Bank Transfer
PO000039,2026-06-30,SUP0107,PROD0342,WH050,229,790.27,2026-07-07,2026-07-12,3,Rail,1787.24,Advance Payment,Cheque
PO000040,2025-03-16,SUP0038,PROD0217,WH016,276,41456.88,2025-03-21,2025-03-21,2,Road,830.51,Net 60,Cheque
PO000041,2026-05-09,SUP0108,PROD0055,WH032,993,24724.24,2026-05-14,2026-05-14,9,Road,3589.55,Net 90,NEFT
PO000042,2024-10-07,SUP0114,PROD0245,WH034,121,3043.68,2024-10-14,2024-10-14,1,Rail,1587.03,Advance Payment,Cheque
PO000043,2026-02-28,SUP0067,PROD0014,WH006,394,2113.67,2026-03-07,2026-03-13,4,Rail,1039.6,Net 30,NEFT
PO000044,2025-03-14,SUP0077,PROD0459,WH044,409,286.48,2025-03-21,2025-03-21,2,Rail,2128.18,Net 60,NEFT
PO000045,2026-03-12,SUP0100,PROD0120,WH005,186,929.42,2026-03-17,2026-03-17,3,Road,800.58,Net 45,NEFT
PO000046,2026-06-29,SUP0105,PROD0330,WH024,43,1323.17,2026-07-04,2026-07-04,1,Road,392.85,Net 60,RTGS
PO000047,2026-02-22,SUP0048,PROD0149,WH049,28,274.39,2026-03-08,2026-03-08,0,Sea,565.31,Net 45,Bank Transfer
PO000048,2024-09-28,SUP0012,PROD0261,WH019,370,5688.19,2024-10-12,2024-10-12,11,Sea,1204.31,Net 90,Cheque
PO000049,2024-10-20,SUP0020,PROD0274,WH030,142,533.55,2024-10-25,2024-10-25,0,Road,387.21,Net 30,RTGS
PO000050,2024-12-07,SUP0103,PROD0087,WH012,83,1299.51,2024-12-09,2024-12-09,0,Air,4433.7,Net 90,Bank Transfer
PO000051,2026-05-10,SUP0108,PROD0488,WH005,109,18845.27,2026-05-15,2026-05-15,2,Road,7495.53,Net 45,Cheque
